Time Started,Date Submitted,What is your participant ID? (This can be found on the sticker on the left hand corner of desk you are currently sitting at.)Â ,What is your gender?Â ,What is your age?Â ,Please select your highest completed (or current) level or education.
3/28/16 15:01,3/28/16 15:01,x30,Female,21,College/Trade School
3/28/16 16:22,3/28/16 16:23,x19,Male,23,College/Trade School
3/28/16 16:23,3/28/16 16:23,X13,Male,18,High School/GED
3/28/16 16:24,3/28/16 16:24,X08,Male,21,College/Trade School
3/28/16 16:25,3/28/16 16:25,1,Male,18,College/Trade School
3/28/16 16:24,3/28/16 16:25,X25,Female,19,College/Trade School
3/28/16 16:24,3/28/16 16:25,X20,Male,21,College/Trade School
3/28/16 16:25,3/28/16 16:26,X26,Male,22,College/Trade School
3/28/16 16:26,3/28/16 16:27,X07,Female,21,High School/GED
3/28/16 16:26,3/28/16 16:26,X15,Male,19,College/Trade School
3/28/16 16:27,3/28/16 16:27,21,Male,21,College/Trade School
3/28/16 16:28,3/28/16 16:29,x14,Female,19,High School/GED
3/28/16 16:29,3/28/16 16:30,X22,Male,26,Graduate/Advanced Education
3/28/16 16:30,3/28/16 16:30,11,Female,18,High School/GED
3/28/16 16:31,3/28/16 16:31,X27,Male,19,College/Trade School
3/28/16 16:31,3/28/16 16:32,X06,Female,19,College/Trade School
3/28/16 16:31,3/28/16 16:32,X04,Female,23,College/Trade School
3/28/16 16:32,3/28/16 16:33,X02,Female,20,High School/GED
3/28/16 16:32,3/28/16 16:33,X28,Female,23,College/Trade School
3/28/16 16:33,3/28/16 16:34,X16,Female,19,High School/GED
3/28/16 16:34,3/28/16 16:34,24327890,Female,21,College/Trade School
3/28/16 16:36,3/28/16 16:36,X03,Female,21,College/Trade School
3/28/16 16:37,3/28/16 16:37,X10,Male,22,College/Trade School
3/28/16 16:44,3/28/16 16:44,X05,Female,21,College/Trade School
3/28/16 16:48,3/28/16 16:49,X18,Female,20,College/Trade School
3/28/16 16:56,3/28/16 16:57,X29,Female,20,College/Trade School
3/28/16 17:02,3/28/16 17:02,x17,Male,19,High School/GED
3/28/16 17:02,3/28/16 17:03,x12,Female,18,College/Trade School
3/28/16 17:03,3/28/16 17:03,x23,Female,19,College/Trade School
3/28/16 17:03,3/28/16 17:03,x24,Male,18,College/Trade School
3/30/16 16:45,3/30/16 16:46,X20,Male,44,College/Trade School
3/30/16 16:46,3/30/16 16:47,X03,Female,19,College/Trade School
3/30/16 16:46,3/30/16 16:47,X08,Other,28,College/Trade School
3/30/16 16:47,3/30/16 16:48,X09,Female,24,College/Trade School
3/30/16 16:47,3/30/16 16:48,X14,Male,34,College/Trade School
3/30/16 16:49,3/30/16 16:49,X13,Female,56,College/Trade School
3/30/16 16:49,3/30/16 16:50,X17,Male,49,College/Trade School
3/30/16 16:49,3/30/16 16:49,X11,Female,31,Graduate/Advanced Education
3/30/16 16:49,3/30/16 16:50,X04,Female,51,Graduate/Advanced Education
3/30/16 16:49,3/30/16 16:50,x01,Female,43,College/Trade School
3/30/16 16:51,3/30/16 16:52,x16,Other,57,High School/GED
3/30/16 16:57,3/30/16 16:57,x12,Male,23,Graduate/Advanced Education
3/30/16 17:05,3/30/16 17:06,x05,Female,47,Graduate/Advanced Education
3/30/16 17:07,3/30/16 17:07,X11,Female,31,Graduate/Advanced Education
3/30/16 17:22,3/30/16 17:23,X18,Female,60,College/Trade School
3/30/16 17:24,3/30/16 17:24,x06,Female,58,College/Trade School
3/30/16 18:49,3/30/16 18:50,x10,Male,36,Graduate/Advanced Education
3/30/16 19:07,3/30/16 19:09,3130,Female,31,College/Trade School
3/30/16 19:16,3/30/16 19:17,X04,Female,31,College/Trade School
3/30/16 19:24,3/30/16 19:25,X06,Female,23,College/Trade School
3/30/16 19:24,3/30/16 19:25,X12,Female,25,College/Trade School
3/31/16 16:20,3/31/16 16:20,x16,Female,40,High School/GED
3/31/16 16:49,3/31/16 16:49,x12,Male,36,College/Trade School
3/31/16 16:51,3/31/16 16:52,X04,Female,64,College/Trade School
3/31/16 16:52,3/31/16 16:53,x10,Male,58,Graduate/Advanced Education
3/31/16 18:19,3/31/16 18:21,X05,Female,36,Graduate/Advanced Education
3/31/16 18:21,3/31/16 18:22,X03,Female,30,College/Trade School
3/31/16 18:47,3/31/16 18:48,x11,Male,28,College/Trade School
3/31/16 18:48,3/31/16 18:48,X06,Female,19,College/Trade School
